model_variant,rain_or_cb_after_max,rows,distinct_days,mae_expected,rmse_expected,bias_expected,mean_nll,mean_crps,brier_peak_already_passed,brier_upside_ge_1c,brier_upside_ge_2c,brier_upside_ge_3c,coverage_80,mean_false_upside_probability
base_intraday_ml,False,777,139,1.717526886513172,2.4467132190913885,0.14625087377458434,5.512395868529599,0.05595566809721459,0.08768108852393405,0.0874187586163922,0.08250264923574382,0.08779698775760934,0.6396396396396397,0.36572224654177443
base_intraday_ml,True,286,69,1.4941473038084956,2.0847033187033133,0.8924675986501818,3.4406391450101,0.04706089837069959,0.12165221414837057,0.13080813936450847,0.14084983997160058,0.13255666749841405,0.6538461538461539,0.37799007041863575
enhanced_intraday_ml,False,777,139,1.665323562469693,2.3507350620422716,0.19366499734443893,5.435554782558586,0.05356441266879806,0.0860381871180483,0.08680736035904425,0.07806779546440284,0.0810175684142454,0.6267696267696268,0.36850267150253085
enhanced_intraday_ml,True,286,69,1.4955726987580076,2.081743513961472,0.8876104352309595,3.1605264184086534,0.04709632556768382,0.11975923339439985,0.12741225324846195,0.1353917069801098,0.13201623805228765,0.6503496503496503,0.36973636315546154
