model_variant,rows,distinct_days,mae_expected,rmse_expected,bias_expected,mean_nll,mean_crps,brier_peak_already_passed,brier_upside_ge_1c,brier_upside_ge_2c,brier_upside_ge_3c,coverage_80,mean_false_upside_probability
base_intraday_ml,1063,152,1.6574266413075869,2.3547932901568482,0.34702037830367266,4.954990014412406,0.05356253155743727,0.09682101507952093,0.09909266538399451,0.09820095266985018,0.0998395732758315,0.6434619002822202,0.36902290282473055
enhanced_intraday_ml,1063,152,1.6196521165416196,2.281483591983989,0.3803709194851208,4.823458722213448,0.05182417474695547,0.09511082986032161,0.09773210106118296,0.09349078576872287,0.09473875328393502,0.6331138287864534,0.3688345960676655
