model_variant,spatial_available_station_count,rows,distinct_days,mae_expected,rmse_expected,bias_expected,mean_nll,mean_crps,brier_peak_already_passed,brier_upside_ge_1c,brier_upside_ge_2c,brier_upside_ge_3c,coverage_80,mean_false_upside_probability
enhanced_intraday_ml,0,1,1,10.188303647930738,10.188303647930738,-10.188303647930738,27.631021115928547,0.37979213223506236,0.006094178166351606,0.006094178166351606,0.058051211326013985,0.07670959358391818,0.0,0.0
enhanced_intraday_ml,3,227,37,1.5363526003098122,2.209534461545364,-0.04672073855900516,3.999328128295309,0.08600672517130281,0.1057157374979145,0.102739558820879,0.10111318923978281,0.103251893575328,0.6387665198237885,0.3301523473293552
enhanced_intraday_ml,4,2837,409,1.6252223061084337,2.4198284635948224,-0.017075209859701894,5.140719466444859,0.07806698887974452,0.09436914424852748,0.09485653945825614,0.10176832734336044,0.09898517162523808,0.5967571378216425,0.3537279270944515
enhanced_spatial_metar_ml,0,1,1,12.252080967583634,12.252080967583634,-12.252080967583634,27.631021115928547,0.5632581063602002,0.03545865533447264,0.03545865533447264,0.14000069444444443,0.30121802777777784,0.0,0.0
enhanced_spatial_metar_ml,3,227,37,1.4105192725872744,2.035828812881443,-0.03717180999439797,4.277625996068149,0.08048589462128519,0.10579648239379957,0.1033345556395665,0.10332287886821225,0.08946021571609196,0.6696035242290749,0.331535224703181
enhanced_spatial_metar_ml,4,2837,409,1.5160669798483306,2.250157514664911,-0.04804766003296958,5.143775157463885,0.07251998583940504,0.09000506949532043,0.08842297959811005,0.09584031902371407,0.09041812736778268,0.6023968981318294,0.3433452561515932
