model_variant,issue_hour_utc,rows,distinct_days,mae_expected,rmse_expected,bias_expected,mean_nll,mean_crps,brier_peak_already_passed,brier_upside_ge_1c,brier_upside_ge_2c,brier_upside_ge_3c,coverage_80,mean_false_upside_probability
base_intraday_ml,0,152,152,2.8247520293085526,3.530654418906275,0.1769320696351202,5.848621574762622,0.09254075036469359,0.06568652028263589,0.08180950311883718,0.1439251810008729,0.17094121714913704,0.8223684210526315,0.4393990798995702
base_intraday_ml,3,152,152,2.7052678640766796,3.323302028134515,0.42880811274606623,5.582753892922638,0.08689229314173431,0.07063585055198571,0.08395817365060776,0.13579515844710136,0.1612381675587454,0.8289473684210527,0.46177317711032523
base_intraday_ml,6,152,152,2.5179572734763638,3.1122493629621917,0.37366516292270874,4.850518841965649,0.08264435802484721,0.0691883611135655,0.09226565548806281,0.12787374127721682,0.16187050878264392,0.8552631578947368,0.43450749121090154
base_intraday_ml,9,151,151,1.414073968662173,1.8598263705817497,-0.3232554731428297,3.24062612981916,0.05433607500665191,0.08602114390647063,0.12164164079116319,0.17322386595647948,0.17248596893790671,0.8013245033112583,0.3437360249696211
base_intraday_ml,12,152,152,0.8306363673628278,1.0060236913036353,0.5937655927820739,1.9772570525366007,0.027990625778499242,0.22965390246777548,0.24745673272891894,0.10446034461212587,0.030465869757609624,0.8486842105263158,0.3434103378793633
base_intraday_ml,15,152,152,0.6550394104412329,0.75347669389502,0.5655037706712691,6.359042135794505,0.01623623191337952,0.08968502284915718,0.04437311338509947,0.0013109745965466282,0.0011766087791720429,0.17105263157894737,0.27128322636645946
base_intraday_ml,18,152,152,0.6526585713999785,0.7529393956616911,0.6093137029623098,6.814831763318604,0.014302475773894681,0.066805252601023,0.02229218704768782,0.0013109745965466282,0.0011766087791720429,0.17763157894736842,0.2888846212983523
enhanced_intraday_ml,0,152,152,2.7807438283692303,3.463679773638513,0.33818071331438987,5.189321135479826,0.09028048675647883,0.06570551342881303,0.08315763033756947,0.13125052888839292,0.16738796703031458,0.7763157894736842,0.4498685101510702
enhanced_intraday_ml,3,152,152,2.5959368106410454,3.1656033676768582,0.4646197888625464,5.460449611861281,0.08328507370310159,0.06455324333846683,0.07965651988076347,0.12460654230458185,0.15485649859704953,0.8223684210526315,0.4530296210270068
enhanced_intraday_ml,6,152,152,2.4117922295415393,2.985992439748121,0.37345724473899206,5.468505965648743,0.07834480119744085,0.06668314052512186,0.08698092582917484,0.12530977505075339,0.14458041355855863,0.8355263157894737,0.43836991247340434
enhanced_intraday_ml,9,151,151,1.370413204839297,1.8146337548522231,-0.33489885641965567,2.4965568507037292,0.052906892695431376,0.0842467295562225,0.12013327350855582,0.16419623882961326,0.16334798817120494,0.7947019867549668,0.3295965484059054
enhanced_intraday_ml,12,152,152,0.8487963167699545,1.0154271182400667,0.6172447926432773,1.968154136414638,0.027639329094750115,0.22929006094399082,0.24777022866293522,0.10678445226911865,0.030978828492307108,0.8486842105263158,0.3480623142811153
enhanced_intraday_ml,15,152,152,0.6645943055071337,0.7631691334426028,0.5781161887232491,6.353435416309658,0.01611589212044685,0.0887892369037839,0.04430836323445988,0.0013765652464739874,0.0012354768417107255,0.17763157894736842,0.2722844911878591
enhanced_intraday_ml,18,152,152,0.6636483904408843,0.7634807132674624,0.6211708423231468,6.8124793741321215,0.014203870805436523,0.06643640998174645,0.022265142109344247,0.0013765652464739874,0.0012354768417107255,0.17763157894736842,0.2903726298968912
