model_variant,season,rows,distinct_days,mae_expected,rmse_expected,bias_expected,mean_nll,mean_crps,brier_peak_already_passed,brier_upside_ge_1c,brier_upside_ge_2c,brier_upside_ge_3c,coverage_80,mean_false_upside_probability
base_intraday_ml,autumn,637,91,1.6779388327513294,2.4237828261879586,0.41929818787016704,5.0754821711108455,0.05365069127660001,0.08506853675553776,0.09112117007605923,0.09866119089681429,0.10471816497037503,0.6389324960753532,0.37610397011768465
base_intraday_ml,summer,216,31,1.631218672643304,2.2459439558536185,-0.03479679421938055,5.9170247775227605,0.05579284256194764,0.052408494307078626,0.04237119882173026,0.04807378363914482,0.06682153226348128,0.5555555555555556,0.35103770379549154
base_intraday_ml,winter,210,30,1.6221630950305441,2.2494760557641884,0.5205039238804468,3.599975668466011,0.05100107956657583,0.17815164926630572,0.18161494771067954,0.14836427057487978,0.11900259208175255,0.7476190476190476,0.3660427272280821
enhanced_intraday_ml,autumn,637,91,1.6227802248318208,2.3348090864937094,0.4378161772987084,4.946356721655578,0.05209385103106576,0.08551055871110944,0.0906723288923283,0.09288796811416439,0.10132641916050705,0.6342229199372057,0.37287613438356026
enhanced_intraday_ml,summer,216,31,1.685312433252536,2.304327103653768,0.012807350035497276,5.860793256628119,0.05616375371832475,0.050078855777276055,0.04133031315055145,0.05127139304353572,0.06818546252124251,0.5231481481481481,0.3565482524998971
enhanced_intraday_ml,winter,210,30,1.5426271956348758,2.08583664874084,0.5841856898368509,3.383695459936281,0.04654258974317445,0.17055025426025502,0.17716001087192979,0.13874499374298083,0.10206812300472176,0.7428571428571429,0.3692126451315372
